"","W1Q50","COHORT","Bullied","W1Q52","W1Q53"
"229",17,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"230",18,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"231",22,"(2) Middle",1,"(5) Out to no one at school","(3) Disagree"
"232",25,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"233",13,"(1) Younger",4,"(2) Out to most people at school","(2) Agree"
"234",16,"(1) Younger",2,"(3) Out to some people at school","(3) Disagree"
"235",12,"(1) Younger",4,"(1) Out to everyone at school","(2) Agree"
"236",18,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"237",24,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"238",23,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"239",19,"(1) Younger",3,"(5) Out to no one at school","(1) Agree strongly"
"240",14,"(1) Younger",4,"(2) Out to most people at school","(3) Disagree"
"241",15,"(1) Younger",2,"(1) Out to everyone at school","(1) Agree strongly"
"242",15,"(1) Younger",4,"(1) Out to everyone at school","(2) Agree"
"243",16,"(3) Older",1,"(4) Out to a few people at school","(3) Disagree"
"244",54,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"245",44,"(3) Older",3,"(5) Out to no one at school","(2) Agree"
"246",17,"(1) Younger",4,"(3) Out to some people at school","(2) Agree"
"247",16,"(1) Younger",4,"(4) Out to a few people at school","(1) Agree strongly"
"248",18,"(2) Middle",3,"(4) Out to a few people at school","(2) Agree"
"249",20,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"250",17,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"251",17,"(3) Older",1,"(5) Out to no one at school","(3) Disagree"
"252",22,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"253",NA,"(1) Younger",1,"(5) Out to no one at school","(3) Disagree"
"254",16,"(2) Middle",2,"(4) Out to a few people at school","(1) Agree strongly"
"255",40,"(3) Older",4,NA,"(3) Disagree"
"256",21,"(3) Older",1,"(5) Out to no one at school","(4) Disagree strongly"
"257",19,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"258",22,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"259",17,"(1) Younger",1,"(1) Out to everyone at school","(3) Disagree"
"260",17,"(2) Middle",4,"(2) Out to most people at school","(3) Disagree"
"261",15,"(1) Younger",2,"(1) Out to everyone at school","(1) Agree strongly"
"262",16,"(1) Younger",1,"(1) Out to everyone at school","(1) Agree strongly"
"263",23,"(1) Younger",2,"(5) Out to no one at school","(2) Agree"
