"","W1Q50","COHORT","Bullied","W1Q52","W1Q53"
"772",17,"(1) Younger",3,"(4) Out to a few people at school","(2) Agree"
"773",27,"(2) Middle",2,"(5) Out to no one at school","(1) Agree strongly"
"774",7,"(1) Younger",3,"(1) Out to everyone at school","(3) Disagree"
"775",18,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"776",45,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"777",20,"(1) Younger",4,"(3) Out to some people at school","(2) Agree"
"778",30,"(2) Middle",4,"(5) Out to no one at school","(1) Agree strongly"
"779",NA,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"780",19,"(1) Younger",3,"(4) Out to a few people at school","(2) Agree"
"781",17,"(1) Younger",3,"(1) Out to everyone at school","(2) Agree"
"782",15,"(3) Older",4,"(4) Out to a few people at school","(1) Agree strongly"
"783",31,"(2) Middle",1,"(5) Out to no one at school","(2) Agree"
"784",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"785",33,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"786",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"787",19,"(1) Younger",4,"(5) Out to no one at school","(4) Disagree strongly"
"788",23,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"789",13,"(1) Younger",4,"(1) Out to everyone at school","(2) Agree"
"790",29,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"791",15,"(1) Younger",2,"(3) Out to some people at school","(4) Disagree strongly"
"792",28,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"793",15,"(1) Younger",4,"(2) Out to most people at school","(2) Agree"
"794",25,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"795",9,"(2) Middle",1,NA,"(3) Disagree"
"796",29,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"797",17,"(1) Younger",1,"(2) Out to most people at school","(1) Agree strongly"
"798",8,"(3) Older",1,"(1) Out to everyone at school","(3) Disagree"
"799",21,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"800",28,"(2) Middle",1,"(5) Out to no one at school","(2) Agree"
"801",21,"(1) Younger",3,"(4) Out to a few people at school","(2) Agree"
"802",18,"(1) Younger",4,"(3) Out to some people at school","(3) Disagree"
"803",14,"(1) Younger",1,"(1) Out to everyone at school","(2) Agree"
"804",17,"(2) Middle",4,"(2) Out to most people at school","(2) Agree"
"805",17,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"806",18,"(2) Middle",3,"(5) Out to no one at school","(4) Disagree strongly"
"807",21,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"808",NA,"(1) Younger",4,"(5) Out to no one at school","(4) Disagree strongly"
"809",28,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"810",19,"(2) Middle",1,"(4) Out to a few people at school","(2) Agree"
"811",37,"(2) Middle",4,"(4) Out to a few people at school","(3) Disagree"
"812",22,"(1) Younger",4,"(3) Out to some people at school","(3) Disagree"
"813",25,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"814",19,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"815",17,"(1) Younger",1,"(5) Out to no one at school","(2) Agree"
"816",22,"(3) Older",3,"(5) Out to no one at school","(2) Agree"
"817",19,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"818",30,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"819",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"820",30,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"821",25,"(1) Younger",2,"(5) Out to no one at school","(3) Disagree"
"822",NA,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"823",42,"(3) Older",1,"(5) Out to no one at school","(1) Agree strongly"
"824",16,"(1) Younger",2,"(1) Out to everyone at school","(1) Agree strongly"
"825",25,"(3) Older",4,"(5) Out to no one at school",NA
"826",NA,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"827",18,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"828",19,"(2) Middle",4,"(4) Out to a few people at school","(2) Agree"
"829",39,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"830",25,"(2) Middle",4,"(1) Out to everyone at school","(1) Agree strongly"
"831",20,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"832",25,"(2) Middle",2,"(4) Out to a few people at school","(2) Agree"
"833",27,"(3) Older",4,NA,"(3) Disagree"
"834",21,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"835",25,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"836",17,"(1) Younger",2,"(5) Out to no one at school","(3) Disagree"
"837",19,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"838",33,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"839",17,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"840",19,"(1) Younger",1,"(5) Out to no one at school","(2) Agree"
"841",NA,"(1) Younger",4,"(4) Out to a few people at school","(4) Disagree strongly"
"842",18,"(2) Middle",1,"(2) Out to most people at school","(2) Agree"
"843",16,"(1) Younger",1,"(2) Out to most people at school","(2) Agree"
"844",18,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"845",13,"(2) Middle",4,"(1) Out to everyone at school","(1) Agree strongly"
"846",16,"(1) Younger",2,"(3) Out to some people at school","(2) Agree"
"847",17,"(3) Older",2,"(5) Out to no one at school","(1) Agree strongly"
"848",23,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"849",20,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"850",18,"(3) Older",1,"(4) Out to a few people at school","(2) Agree"
"851",16,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"852",21,"(3) Older",3,"(5) Out to no one at school","(2) Agree"
"853",11,"(1) Younger",1,"(1) Out to everyone at school","(3) Disagree"
"854",50,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"855",21,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"856",20,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"857",18,"(1) Younger",1,"(1) Out to everyone at school","(2) Agree"
"858",31,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"859",24,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"860",14,"(3) Older",2,"(1) Out to everyone at school","(1) Agree strongly"
"861",44,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"862",15,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"863",50,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"864",20,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"865",16,"(2) Middle",2,"(2) Out to most people at school","(2) Agree"
"866",17,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"867",16,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"868",18,"(3) Older",4,"(3) Out to some people at school","(2) Agree"
"869",32,"(2) Middle",2,"(5) Out to no one at school","(2) Agree"
"870",19,"(1) Younger",1,"(3) Out to some people at school","(4) Disagree strongly"
"871",25,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"872",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"873",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"874",NA,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"875",13,"(1) Younger",4,"(1) Out to everyone at school","(2) Agree"
"876",16,"(1) Younger",1,"(1) Out to everyone at school","(3) Disagree"
"877",16,"(3) Older",2,"(3) Out to some people at school","(2) Agree"
"878",29,"(2) Middle",4,"(4) Out to a few people at school","(2) Agree"
"879",19,"(1) Younger",1,"(3) Out to some people at school","(1) Agree strongly"
"880",18,"(2) Middle",4,"(5) Out to no one at school","(4) Disagree strongly"
"881",19,"(1) Younger",1,"(5) Out to no one at school","(3) Disagree"
"882",16,"(1) Younger",4,"(1) Out to everyone at school","(2) Agree"
"883",20,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"884",NA,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"885",23,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"886",18,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"887",NA,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"888",NA,"(2) Middle",3,"(5) Out to no one at school","(3) Disagree"
"889",16,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"890",NA,"(2) Middle",4,"(4) Out to a few people at school","(4) Disagree strongly"
"891",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"892",NA,"(2) Middle",1,"(5) Out to no one at school","(3) Disagree"
"893",15,"(1) Younger",3,"(1) Out to everyone at school","(1) Agree strongly"
"894",NA,"(1) Younger",4,"(1) Out to everyone at school","(3) Disagree"
"895",22,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"896",15,"(1) Younger",3,"(4) Out to a few people at school","(1) Agree strongly"
"897",37,"(3) Older",1,"(5) Out to no one at school","(4) Disagree strongly"
"898",18,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"899",12,"(3) Older",4,"(4) Out to a few people at school","(3) Disagree"
"900",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"901",18,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"902",33,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"903",15,"(3) Older",4,"(4) Out to a few people at school","(2) Agree"
"904",18,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"905",27,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"906",17,"(1) Younger",1,"(4) Out to a few people at school","(2) Agree"
"907",25,"(3) Older",1,"(5) Out to no one at school","(3) Disagree"
"908",NA,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"909",19,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"910",30,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"911",18,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"912",18,"(3) Older",4,"(4) Out to a few people at school","(3) Disagree"
"913",20,"(1) Younger",1,"(4) Out to a few people at school","(2) Agree"
"914",16,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"915",32,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"916",17,"(1) Younger",4,"(3) Out to some people at school","(1) Agree strongly"
"917",22,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"918",23,"(2) Middle",4,"(5) Out to no one at school","(1) Agree strongly"
"919",15,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"920",21,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"921",25,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"922",19,"(3) Older",1,"(5) Out to no one at school","(1) Agree strongly"
"923",17,"(3) Older",2,"(5) Out to no one at school","(4) Disagree strongly"
"924",34,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"925",23,"(2) Middle",1,"(5) Out to no one at school","(2) Agree"
"926",31,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"927",28,"(3) Older",4,"(4) Out to a few people at school","(3) Disagree"
"928",23,"(1) Younger",2,"(4) Out to a few people at school","(3) Disagree"
"929",19,"(2) Middle",4,"(3) Out to some people at school","(2) Agree"
"930",15,"(1) Younger",4,"(4) Out to a few people at school","(1) Agree strongly"
"931",20,"(3) Older",2,"(4) Out to a few people at school","(2) Agree"
"932",12,"(1) Younger",1,"(2) Out to most people at school","(3) Disagree"
"933",15,"(1) Younger",1,"(1) Out to everyone at school","(3) Disagree"
"934",35,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"935",17,"(1) Younger",4,"(1) Out to everyone at school","(1) Agree strongly"
"936",21,"(1) Younger",1,"(5) Out to no one at school","(2) Agree"
"937",28,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"938",30,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"939",23,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"940",19,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"941",NA,"(1) Younger",4,"(5) Out to no one at school","(4) Disagree strongly"
"942",19,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"943",20,"(3) Older",3,"(4) Out to a few people at school","(2) Agree"
"944",NA,"(3) Older",2,"(5) Out to no one at school","(1) Agree strongly"
"945",NA,"(2) Middle",4,"(5) Out to no one at school","(4) Disagree strongly"
"946",NA,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"947",17,"(1) Younger",4,"(1) Out to everyone at school","(2) Agree"
"948",18,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"949",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"950",45,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"951",16,"(1) Younger",2,"(1) Out to everyone at school","(1) Agree strongly"
"952",35,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"953",NA,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"954",19,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"955",16,"(1) Younger",2,"(2) Out to most people at school","(2) Agree"
"956",34,"(2) Middle",4,"(4) Out to a few people at school","(3) Disagree"
"957",20,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"958",17,"(2) Middle",1,"(5) Out to no one at school","(4) Disagree strongly"
"959",16,"(1) Younger",4,"(1) Out to everyone at school","(2) Agree"
"960",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"961",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"962",26,"(2) Middle",4,"(5) Out to no one at school","(1) Agree strongly"
"963",49,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"964",15,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"965",18,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"966",15,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"967",NA,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"968",20,"(1) Younger",2,"(1) Out to everyone at school","(2) Agree"
"969",19,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"970",21,"(1) Younger",2,"(3) Out to some people at school","(2) Agree"
"971",20,"(2) Middle",1,"(5) Out to no one at school","(2) Agree"
"972",15,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"973",21,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"974",14,"(1) Younger",4,"(3) Out to some people at school","(3) Disagree"
"975",25,"(2) Middle",2,"(4) Out to a few people at school","(2) Agree"
"976",23,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"977",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"978",24,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"979",20,"(2) Middle",4,"(5) Out to no one at school","(4) Disagree strongly"
"980",17,"(2) Middle",1,"(4) Out to a few people at school","(3) Disagree"
"981",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"982",18,"(3) Older",1,"(4) Out to a few people at school","(2) Agree"
"983",33,"(2) Middle",1,"(5) Out to no one at school","(2) Agree"
"984",13,"(1) Younger",4,"(1) Out to everyone at school","(1) Agree strongly"
"985",22,"(1) Younger",4,"(3) Out to some people at school","(2) Agree"
"986",21,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"987",21,"(3) Older",1,"(5) Out to no one at school","(1) Agree strongly"
"988",NA,"(1) Younger",1,"(2) Out to most people at school","(2) Agree"
"989",22,"(2) Middle",2,"(5) Out to no one at school","(1) Agree strongly"
"990",21,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"991",23,"(3) Older",1,"(4) Out to a few people at school","(2) Agree"
"992",NA,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"993",28,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"994",17,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"995",57,"(3) Older",1,"(5) Out to no one at school","(1) Agree strongly"
"996",25,"(1) Younger",4,"(5) Out to no one at school","(1) Agree strongly"
"997",32,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"998",13,"(1) Younger",4,"(3) Out to some people at school","(3) Disagree"
"999",21,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"1000",19,"(1) Younger",1,"(5) Out to no one at school","(2) Agree"
"1001",23,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"1002",30,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"1003",21,"(3) Older",3,"(5) Out to no one at school","(2) Agree"
"1004",16,"(2) Middle",3,"(4) Out to a few people at school","(2) Agree"
"1005",NA,"(1) Younger",2,"(5) Out to no one at school","(4) Disagree strongly"
"1006",27,"(2) Middle",2,"(5) Out to no one at school","(4) Disagree strongly"
"1007",18,"(1) Younger",4,"(3) Out to some people at school","(3) Disagree"
"1008",17,"(3) Older",3,"(5) Out to no one at school","(3) Disagree"
"1009",39,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"1010",9,"(1) Younger",1,"(1) Out to everyone at school","(3) Disagree"
"1011",20,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"1012",20,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"1013",NA,"(2) Middle",1,"(5) Out to no one at school","(3) Disagree"
"1014",46,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"1015",16,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"1016",21,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"1017",16,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"1018",NA,"(2) Middle",1,"(4) Out to a few people at school","(2) Agree"
"1019",19,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"1020",NA,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"1021",NA,"(1) Younger",1,"(5) Out to no one at school","(4) Disagree strongly"
"1022",22,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"1023",13,"(1) Younger",2,"(3) Out to some people at school","(3) Disagree"
"1024",41,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"1025",29,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"1026",17,"(2) Middle",2,"(4) Out to a few people at school","(2) Agree"
"1027",18,"(1) Younger",1,"(3) Out to some people at school","(1) Agree strongly"
"1028",18,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"1029",20,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"1030",19,"(1) Younger",4,"(5) Out to no one at school","(1) Agree strongly"
"1031",26,"(2) Middle",2,"(5) Out to no one at school","(1) Agree strongly"
"1032",NA,"(2) Middle",2,"(5) Out to no one at school","(3) Disagree"
"1033",24,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"1034",16,"(3) Older",4,"(4) Out to a few people at school","(3) Disagree"
"1035",30,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"1036",15,"(2) Middle",4,"(1) Out to everyone at school","(2) Agree"
"1037",NA,"(2) Middle",4,"(1) Out to everyone at school","(1) Agree strongly"
"1038",17,"(1) Younger",4,"(1) Out to everyone at school","(1) Agree strongly"
"1039",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"1040",NA,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"1041",18,"(1) Younger",1,"(4) Out to a few people at school","(1) Agree strongly"
"1042",19,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"1043",13,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"1044",NA,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"1045",NA,"(3) Older",1,"(5) Out to no one at school","(1) Agree strongly"
"1046",15,"(1) Younger",2,"(1) Out to everyone at school","(2) Agree"
"1047",36,"(2) Middle",4,"(5) Out to no one at school","(4) Disagree strongly"
"1048",20,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"1049",18,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"1050",17,"(1) Younger",4,"(3) Out to some people at school","(2) Agree"
"1051",31,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"1052",22,"(1) Younger",4,"(2) Out to most people at school","(2) Agree"
"1053",18,"(2) Middle",4,"(4) Out to a few people at school","(2) Agree"
"1054",21,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"1055",17,"(1) Younger",3,"(2) Out to most people at school","(3) Disagree"
"1056",23,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"1057",24,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"1058",23,"(2) Middle",4,"(5) Out to no one at school","(1) Agree strongly"
"1059",22,"(1) Younger",1,"(3) Out to some people at school",NA
"1060",18,"(1) Younger",4,"(3) Out to some people at school","(3) Disagree"
"1061",17,"(1) Younger",1,"(3) Out to some people at school","(2) Agree"
"1062",18,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"1063",25,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"1064",21,"(1) Younger",4,"(2) Out to most people at school","(3) Disagree"
"1065",23,"(2) Middle",1,"(5) Out to no one at school","(2) Agree"
"1066",NA,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"1067",20,"(3) Older",1,"(5) Out to no one at school","(1) Agree strongly"
"1068",16,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"1069",NA,"(1) Younger",1,"(4) Out to a few people at school","(3) Disagree"
"1070",NA,"(1) Younger",4,"(3) Out to some people at school","(2) Agree"
"1071",NA,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"1072",24,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"1073",NA,"(2) Middle",4,"(4) Out to a few people at school","(2) Agree"
"1074",22,"(3) Older",1,"(5) Out to no one at school","(1) Agree strongly"
"1075",43,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"1076",24,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"1077",50,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"1078",22,"(2) Middle",2,"(5) Out to no one at school","(3) Disagree"
"1079",25,"(2) Middle",1,"(5) Out to no one at school","(2) Agree"
"1080",25,"(3) Older",3,"(5) Out to no one at school","(2) Agree"
"1081",18,"(1) Younger",4,"(2) Out to most people at school","(3) Disagree"
"1082",NA,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"1083",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"1084",18,"(1) Younger",4,"(1) Out to everyone at school","(1) Agree strongly"
"1085",19,"(3) Older",2,"(4) Out to a few people at school","(2) Agree"
"1086",NA,"(1) Younger",3,"(4) Out to a few people at school","(3) Disagree"
"1087",18,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"1088",18,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"1089",18,"(2) Middle",3,"(5) Out to no one at school","(2) Agree"
"1090",18,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"1091",20,"(3) Older",4,"(3) Out to some people at school","(2) Agree"
"1092",14,"(1) Younger",3,"(1) Out to everyone at school","(2) Agree"
"1093",18,"(1) Younger",1,"(4) Out to a few people at school","(3) Disagree"
"1094",27,"(2) Middle",2,"(5) Out to no one at school","(2) Agree"
"1095",25,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"1096",19,"(3) Older",3,"(5) Out to no one at school","(2) Agree"
"1097",22,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"1098",14,"(1) Younger",4,"(1) Out to everyone at school","(2) Agree"
"1099",19,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"1100",NA,"(1) Younger",2,"(5) Out to no one at school","(3) Disagree"
"1101",NA,"(1) Younger",1,"(5) Out to no one at school","(2) Agree"
"1102",16,"(3) Older",1,"(5) Out to no one at school","(1) Agree strongly"
"1103",NA,"(1) Younger",3,"(4) Out to a few people at school","(3) Disagree"
"1104",17,"(1) Younger",1,"(4) Out to a few people at school","(3) Disagree"
"1105",NA,"(3) Older",1,"(5) Out to no one at school","(3) Disagree"
"1106",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"1107",18,"(1) Younger",2,"(5) Out to no one at school","(3) Disagree"
"1108",30,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"1109",30,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"1110",19,"(2) Middle",3,"(2) Out to most people at school","(3) Disagree"
"1111",16,"(2) Middle",1,"(3) Out to some people at school","(2) Agree"
"1112",15,"(1) Younger",4,"(2) Out to most people at school","(2) Agree"
"1113",27,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"1114",19,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"1115",22,"(2) Middle",2,"(5) Out to no one at school","(3) Disagree"
"1116",NA,"(1) Younger",1,"(4) Out to a few people at school","(3) Disagree"
"1117",16,"(2) Middle",3,"(1) Out to everyone at school","(2) Agree"
"1118",20,"(2) Middle",4,"(5) Out to no one at school","(1) Agree strongly"
"1119",NA,"(1) Younger",1,"(4) Out to a few people at school","(3) Disagree"
"1120",19,"(2) Middle",1,"(4) Out to a few people at school","(2) Agree"
"1121",21,"(2) Middle",4,"(5) Out to no one at school","(4) Disagree strongly"
"1122",27,"(2) Middle",1,"(5) Out to no one at school","(3) Disagree"
"1123",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"1124",30,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"1125",18,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"1126",30,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"1127",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"1128",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"1129",16,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"1130",16,"(1) Younger",1,"(2) Out to most people at school","(2) Agree"
"1131",27,"(3) Older",2,"(5) Out to no one at school","(1) Agree strongly"
"1132",NA,"(1) Younger",3,"(5) Out to no one at school","(2) Agree"
"1133",30,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"1134",16,"(2) Middle",4,"(4) Out to a few people at school","(2) Agree"
"1135",NA,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"1136",18,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"1137",39,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"1138",22,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"1139",20,"(2) Middle",4,NA,"(2) Agree"
"1140",18,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"1141",18,"(1) Younger",1,"(5) Out to no one at school","(3) Disagree"
"1142",18,"(2) Middle",4,"(4) Out to a few people at school","(2) Agree"
"1143",17,"(1) Younger",1,"(4) Out to a few people at school","(1) Agree strongly"
"1144",13,"(1) Younger",1,"(5) Out to no one at school","(2) Agree"
"1145",13,"(3) Older",2,"(4) Out to a few people at school","(1) Agree strongly"
"1146",22,"(2) Middle",4,"(4) Out to a few people at school","(1) Agree strongly"
"1147",20,"(1) Younger",1,"(2) Out to most people at school","(1) Agree strongly"
"1148",21,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"1149",34,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"1150",18,"(2) Middle",4,"(3) Out to some people at school","(2) Agree"
"1151",NA,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"1152",29,"(3) Older",2,"(5) Out to no one at school","(3) Disagree"
"1153",20,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"1154",27,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
